# index code colatitude longitude radius 
219 HBK 115.73120476363894 27.707000000000001 6375.6117250782954
220 ARS 33.744528167120897 58.567999999999998 6363.6178123522259
221 PET2 37.084955678412022 158.63300000000001 6364.6128324517631
222 MRN 136.67494043469171 37.850000000000001 6366.7928677565842
223 CBI 63.072693293791303 142.16700000000000 6373.8877332368702
224 CZT 136.24078718892824 51.866999999999997 6367.1146575075918
225 NKK 44.392369063064478 62.100000000000001 6367.1908071877633
226 LPB 106.42830582313393 291.89999999999998 6376.4185853560839
227 GRM 123.10370692333242 26.480000000000000 6372.3855709550571
228 YKC2 27.675994871650353 245.51800000000000 6361.5452609837284
229 GTV 144.10040958712040 323.51600000000002 6364.6604332953557
230 GDH2 20.875816605597205 306.46699999999998 6359.4795674389934
231 AMT2 58.621335439376736 34.917000000000002 6372.6677865441670
232 JAI 63.238029868042688 75.799999999999997 6374.2216095604554
233 SHL 64.582508019294124 91.882999999999996 6374.3111948149472
234 UJJ 66.955938116591852 75.783000000000001 6375.3452930473659
235 BOX 32.143118502203066 38.969999999999999 6362.7834504445491
236 WHS 40.439892317624718 264.75000000000000 6365.7234260241949
237 ARC 152.00077348839713 301.52199999999999 6361.4526098619226
238 WMQ 46.375206075519557 87.697000000000003 6368.9007146554350
239 EYR 133.22491504241057 172.34999999999999 6368.4697751067324
240 CSY 156.14095643408325 110.53300000000000 6360.2760970052541
241 HRN 13.084609484592779 15.550000000000001 6357.8578055587141
242 SNA3 160.19362733953594 354.41600000000000 6359.2463789709418
243 CNH2 46.142298842895244 125.20000000000000 6367.8438447450080
244 CNB 125.13369204891306 149.36300000000000 6371.8807406798833
245 SPT 50.641803332447253 355.64999999999998 6370.4327438134187
246 HTY 57.053877729781803 139.80199999999999 6372.0094310791264
247 HVN3 67.155018426747262 277.68299999999999 6374.8998288176708
248 ETT 81.059273357619546 78.000000000000000 6377.6649412079651
249 AMS 127.64672067550181 77.566999999999993 6370.1837766835588
250 DVS 158.45185136738260 77.966999999999999 6359.6532219947576
251 GLN 40.544998366431422 262.88000000000000 6365.9911414631288
252 CDP 59.169617411688897 103.70000000000000 6373.1522455710256
253 QZH 65.246656336510526 118.59999999999999 6374.3821704475149
254 QGZ 71.118152670717393 109.80000000000000 6376.1142612348513
255 TUN 86.513439459574130 98.560000000000002 6378.0575125276564
256 NMP2 105.00349139502586 39.250000000000000 6377.0710738134057
257 DLR 60.677602371660015 259.08499999999998 6373.3435912660170
